10/24/2020,Nazwa,Nazwa potoczna,Oznaczenie,,
194,e493,monolaurynian sorbitolu,Nieszkodliwy,,
195,e495,monopalmitynian sorbitolu,Nieszkodliwy,,
196,e500,węglany sodu,Podejrzany,,
197,e501,węglany potasu,Podejrzany,,
198,e503,węglany amonu,Nieszkodliwy,,
199,e504,węglany wapnia,Nieszkodliwy,,
200,e507,kwas chlorowodorowy,Nieszkodliwy,,
201,e508,chlorek potasu,Podejrzany,,
202,e509,chlorek wapnia,Zalecana ostrożność,,
203,e511,chlorek magnezu,Nieszkodliwy,,
204,e512,chlorek cyny,Podejrzany,,
205,e513,kwas siarkowy,Nieszkodliwy,,
206,e514,siarczany sodu,Podejrzany,,
207,e515,siarczany potasu,Zalecana ostrożność,,
208,e516,siarczan wapnia,Nieszkodliwy,,
209,e517,siarczan amonu,Nieszkodliwy,,
210,e520,siarczan glinu,Podejrzany,,
211,e521,siarczan glinowo-sodowy,Podejrzany,,
212,e522,siarczan glinowo-potasowy,Podejrzany,,
213,e523,siarczan glinowo-amonowy,Podejrzany,,
214,e524,wodorotlenek sodu,Nieszkodliwy,,
215,e525,wodorotlenek potasu,Podejrzany,,
216,e526,wodorotlenek wapnia,Nieszkodliwy,,
217,e528,wodorotlenek magnezu,Nieszkodliwy,,
218,e529,tlenek wapnia,Podejrzany,,
219,e530,tlenek magnezu,Nieszkodliwy,,
220,e535,żelazocyjanek sodu,Nieszkodliwy,,
221,e536,żelazocyjanek potasu,Podejrzany,,
222,e538,żelazocyjanek wapnia,Nieszkodliwy,,
223,e541,fosforan glinowo-sodowy,Podejrzany,,
224,e551,dwutlenek krzemu,Nieszkodliwy,,
225,e552,krzemian wapnia,Nieszkodliwy,,
226,e553a,krzemian magnezu,Zalecana ostrożność,,
227,e553b,uwodniony krzemian magnezu,Niebezpieczny,,
228,e554,krzemian glinowo-wapniowy,Podejrzany,,
229,e555,krzemian glinowo-potasowy,Podejrzany,,
230,e558,bentonit,Podejrzany,,
231,e559,krzemian glinu,Podejrzany,,
232,e570,kwasy tłuszczowe,Nieszkodliwy,,
233,e574,kwas glukonowy,Nieszkodliwy,,
234,e575,lakton kwasu glukonowego,Nieszkodliwy,,
235,e576,glukonian sodu,Zalecana ostrożność,,
236,e577,glukonian potasu,Nieszkodliwy,,
237,e578,glukonian wapnia,Podejrzany,,
